    CEZSOT, 27.100, 27.100, 4.549, P42/n
    CIBBOH, 30.059, 30.059, 5.937, I-4
    CIBBUN, 30.168, 30.168, 6.019, I-4
    CIDDAV, 26.709, 25.884, 3.779, Pnma
    CIJKAJ, 46.670, 5.567, 59.390, P21/n
    CIKBII, 25.648, 3.826, 24.790, P2/c
    CILHAG, 25.725, 27.890, 3.856, B112/b
    CIMBOP, 25.123, 3.947, 26.107, Pna21
    CIRNUO, 48.298, 6.610, 37.169, C2/c
    CIRREA, 20.033, 3.956, 20.578, I2/a
    CIRREC, 24.488, 3.788, 38.480, P21/c
    CISNOH, 25.423, 4.999, 45.234, C2/c
    CIWPOO, 31.343, 31.343, 3.926, R-3
    CIWYAJ, 27.613, 26.404, 4.431, Fdd2
    CIXMED, 30.773, 4.010, 25.039, C2/c
    CIXNEE, 36.159, 5.754, 33.119, C2/c
    CIYMEF, 23.323, 3.832, 31.479, C2/c
  CIYMEF01, 23.323, 3.832, 31.479, C2/c
  CIYMEF02, 23.417, 3.891, 31.503, C2/c
    CIZLOP, 34.180, 4.097, 31.190, C2/c
  CLAMPL02, 34.110, 4.897, 39.450, C2
    CMBTDZ, 32.033, 3.921, 26.969, C2/c
    COCXUN, 46.058, 3.796, 21.834, C2/c
    COJNEX, 35.262, 38.696, 4.536, Fdd2
    COKJAQ, 50.208, 24.264, 4.527, Fdd2
    COPFEU, 38.129, 38.129, 5.714, R-3
  COPTCY03, 25.400, 3.770, 24.600, Unknown
    COQVOT, 21.707, 21.707, 3.989, I41/a
    COQWAG, 21.703, 21.703, 3.968, I41/a
    COQWEK, 22.192, 22.192, 3.871, I41/a
    COQWUA, 21.720, 21.720, 4.112, I41/a
    COQXAH, 21.683, 21.683, 4.025, I41/a
  COQXAH01, 21.653, 21.653, 4.023, I41/a
    COQXEL, 24.229, 3.798, 22.801, I2/a
    COQYAI, 21.906, 21.906, 3.870, I41/a
    COQYEM, 22.947, 22.947, 3.950, I41/a
    CORXAI, 25.880, 3.807, 19.975, P21/c
  CORXAI10, 25.780, 3.807, 19.975, P21/c
    COSWIS, 31.114, 31.114, 5.455, R-3
    COTKIH, 47.097, 47.097, 3.835, R-3
    COVQIQ, 55.002, 8.922, 48.277, C2/c
    COWLAD, 41.299, 41.299, 5.388, R3
    COWZIA, 35.192, 32.902, 3.782, C2/m
    COXKOS, 54.659, 5.869, 29.385, C2/c
    COXNOU, 38.589, 38.589, 6.484, P65
    COYJUX, 3.716, 24.686, 21.803, P21/c
    COYLAG, 33.509, 5.796, 34.225, I2/a
  COYLAG01, 33.509, 5.796, 34.225, I2/a
    COYXAS, 39.852, 39.852, 4.543, R-3
    COZQEQ, 29.647, 29.647, 5.598, I4
    CUFQOM, 24.086, 3.789, 24.230, C2/c
  CUFQOM01, 24.086, 3.789, 24.230, C2/c
    CUGLIB, 28.503, 28.503, 3.538, I-42d
    CUGYEK, 29.415, 29.415, 3.525, I41/amd
    CUGYIO, 28.708, 28.708, 3.525, I-42d
    CUGYOU, 29.634, 29.634, 3.491, I41/amd
    CUGYUA, 19.455, 19.455, 3.534, P-4n2
    CUGZAH, 29.419, 29.419, 3.556, I41/amd
    CUHPZO, 24.171, 3.761, 21.553, C2/c
